College,Major,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Alameda ,Accounting-050200,13,15,11,14,8,10,5,7,7,7
Alameda ,Anthropology-220200,2,1,1,0,0,1,2,2,2,4
Alameda ,Art-100200,2,2,2,5,2,1,0,5,1,6
Alameda ,Automotive Collision Repair-094900,14,3,26,14,1,8,6,5,2,3
Alameda ,Automotive Technology-094800,36,47,25,41,23,14,9,32,18,22
Alameda ,Aviation Airframe Mechanics-095010,22,23,28,28,36,39,25,33,44,38
Alameda ,Aviation Powerplant Mechanics-095020,4,22,36,18,49,32,45,37,31,31
Alameda ,Biological and Physical Sciences (and Mathematics)-490200,19,17,0,0,0,0,0,0,0,0
Alameda ,"Biology, General-040100",0,0,5,0,2,4,5,9,4,3
Alameda ,Business Administration-050500,46,41,48,63,50,49,40,28,26,30
Alameda ,Computer Information Systems-070200,5,4,11,11,8,3,2,5,2,2
Alameda ,Computer Networking-070810,0,0,0,0,0,0,0,1,0,0
Alameda ,Construction Inspection-095720,5,0,5,2,4,1,0,0,0,0
Alameda ,Database Design and Administration-070720,0,0,0,0,0,0,0,0,0,1
Alameda ,Dental Assistant-124010,24,25,40,22,32,32,19,19,16,31
Alameda ,Diesel Technology-094700,11,9,13,10,10,8,7,4,2,7
Alameda ,Economics-220400,0,0,0,0,0,5,6,4,2,51
Alameda ,English as a Second Language - Integrated-493087,0,0,0,0,0,26,5,2,6,8
Alameda ,English-150100,0,0,1,0,0,2,1,3,3,5
Alameda ,Ethnic Studies-220300,0,0,0,1,3,0,1,0,0,2
Alameda ,Fashion Design-130310,0,0,20,13,20,11,8,39,15,12
Alameda ,Fashion-130300,17,7,8,8,12,8,8,0,0,0
Alameda ,"Fine Arts, General-100100",1,1,0,2,3,1,3,3,1,1
Alameda ,Geography-220600,1,0,0,0,0,0,0,0,0,1
Alameda ,History-220500,1,2,5,4,3,3,2,1,1,4
Alameda ,Humanities-490300,75,87,0,0,0,0,2,0,0,0
Alameda ,Kinesiology-127000,0,0,0,0,0,0,0,0,2,1
Alameda ,"Liberal Arts and Sciences, General-490100",0,1,136,153,141,180,176,143,110,100
Alameda ,Logistics and Materials Transportation-051000,6,7,1,1,0,0,0,0,0,0
Alameda ,"Mathematics, General-170100",14,14,6,24,10,22,29,30,16,28
Alameda ,Political Science-220700,2,4,4,21,36,9,7,3,11,7
Alameda ,"Psychology, General-200100",12,33,40,37,46,32,36,31,22,32
Alameda ,Small Business and Entrepreneurship-050640,2,1,2,0,0,0,0,0,1,0
Alameda ,"Social Sciences, General-220100",0,1,1,0,0,0,0,0,0,0
Alameda ,Sociology-220800,9,25,21,39,49,26,37,40,19,19
Alameda ,Speech Communication-150600,9,8,14,10,12,6,9,5,2,7
Alameda ,Transfer Studies-490110,222,181,222,256,261,213,195,179,120,179
Allan Hancock ,Accounting-050200,10,8,35,32,49,24,30,20,34,29
Allan Hancock ,Administration of Justice-210500,43,61,59,64,88,82,108,71,53,86
Allan Hancock ,Administrative Medical Assisting-120820,0,0,12,0,11,16,12,3,5,16
Allan Hancock ,Agricultural Pest Control Adviser and Operator (Licensed)-010310,0,0,0,0,0,0,0,0,3,3
Allan Hancock ,"Agriculture Business, Sales and Service-011200",0,0,0,0,0,0,4,3,1,4
Allan Hancock ,"Agriculture Technology and Sciences, General-010100",0,0,0,0,3,5,7,6,7,21
Allan Hancock ,Alcohol and Controlled Substances-210440,32,19,75,51,47,31,35,58,37,94
Allan Hancock ,Animation-061440,2,2,6,9,5,7,2,3,1,5
Allan Hancock ,Anthropology-220200,0,3,3,4,1,6,7,1,2,1
Allan Hancock ,Applied Photography-101200,3,0,5,1,8,5,3,3,5,9
Allan Hancock ,Architectural Drafting-095310,2,1,7,11,7,5,5,4,8,21
Allan Hancock ,Art-100200,2,4,7,13,9,9,17,15,14,17
Allan Hancock ,Athletic Training and Sports Medicine-122800,0,0,1,0,0,2,0,1,1,2
Allan Hancock ,Automotive Collision Repair-094900,15,15,9,7,4,7,11,6,9,26
Allan Hancock ,Automotive Technology-094800,24,39,54,36,47,41,27,43,50,49
Allan Hancock ,Biological and Physical Sciences (and Mathematics)-490200,218,194,214,213,260,501,557,396,268,457
Allan Hancock ,"Biology, General-040100",10,13,11,14,16,22,30,19,14,13
Allan Hancock ,Business Administration-050500,76,77,104,69,103,124,153,107,94,114
Allan Hancock ,"Business and Commerce, General-050100",4,3,26,20,28,51,25,32,17,115
Allan Hancock ,Business Management-050600,14,13,9,17,15,14,14,12,14,12
Allan Hancock ,Ceramics-100230,0,0,0,0,0,0,0,0,0,2
Allan Hancock ,Certified Nurse Assistant-123030,0,0,83,83,88,75,58,58,31,80
Allan Hancock ,"Chemistry, General-190500",14,10,9,11,17,9,12,8,6,11
Allan Hancock ,Child Development/Early Care and Education-130500,23,15,24,32,41,50,47,30,39,45
Allan Hancock ,Children with Special Needs-130520,1,3,0,1,2,1,3,1,1,0
Allan Hancock ,Commercial Dance-100810,0,0,0,0,0,0,0,0,0,1
Allan Hancock ,Commercial Music-100500,0,3,4,2,2,2,2,2,2,7
Allan Hancock ,Computer Graphics and Digital Imagery-061460,5,6,7,8,11,0,0,0,0,0
Allan Hancock ,Computer Information Systems-070200,5,1,5,7,14,10,25,19,4,363
Allan Hancock ,Computer Networking-070810,1,1,2,2,6,7,4,8,5,3
Allan Hancock ,Computer Science (Transfer)-070600,15,17,25,22,22,12,27,32,22,49
Allan Hancock ,Cosmetology and Barbering-300700,38,7,24,19,34,27,39,43,52,25
Allan Hancock ,Culinary Arts-130630,0,0,13,8,4,7,6,7,3,22
Allan Hancock ,Customer Service-051800,0,0,1,5,0,1,8,2,4,8
Allan Hancock ,Dance-100800,3,4,3,3,7,3,7,3,1,4
Allan Hancock ,Dental Assistant-124010,29,30,44,35,37,4,61,33,40,34
Allan Hancock ,Dietetic Services and Management-130620,0,0,0,1,0,0,0,0,0,0
Allan Hancock ,Drafting Technology-095300,0,0,9,11,8,7,5,1,2,5
Allan Hancock ,Dramatic Arts-100700,28,32,27,18,34,34,6,5,2,28
Allan Hancock ,"Educational Aide (Teacher Assistant), Bilingual-080210",1,1,0,0,0,0,0,0,1,0
Allan Hancock ,Educational Aide (Teacher Assistant)-080200,0,0,0,0,0,0,0,2,0,0
Allan Hancock ,Electrocardiography-121500,0,0,15,24,18,0,19,17,24,22
Allan Hancock ,Electronics and Electric Technology-093400,0,0,2,6,3,10,1,1,5,5
Allan Hancock ,Emergency Medical Services-125000,4,2,70,66,59,67,53,62,61,71
Allan Hancock ,"Engineering Technology, General (requires Trigonometry)-092400",1,1,4,2,2,3,2,2,2,3
Allan Hancock ,"Engineering, General (requires Calculus) (Transfer)-090100",10,12,7,19,13,11,20,13,9,17
