,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
0,Alameda Total,632,494,400,78.16%,63.29%,757,593,419,78.34%,55.35%,Alameda Total
1,Delayed Interaction (Internet Based) Total,592,464,373,78.38%,63.01%,655,514,359,78.47%,54.81%,Alameda Total
2,Accounting-050200,351,252,230,71.79%,65.53%,334,251,212,75.15%,63.47%,Alameda Total
3,Business Administration-050500,0,0,0,0,0,33,32,18,96.97%,54.55%,Alameda Total
4,"Business and Commerce, General-050100",207,183,129,88.41%,62.32%,248,201,111,81.05%,44.76%,Alameda Total
5,Marketing and Distribution-050900,34,29,14,85.29%,41.18%,40,30,18,75.00%,45.00%,Alameda Total
6,Non Distance Education Methods Total,40,30,27,75.00%,67.50%,68,45,34,66.18%,50.00%,Alameda Total
7,Accounting-050200,0,0,0,0,0,34,19,19,55.88%,55.88%,Alameda Total
8,"Business and Commerce, General-050100",40,30,27,75.00%,67.50%,34,26,15,76.47%,44.12%,Alameda Total
9,Simultaneous Interaction (Internet Based) Total,0,0,0,0,0,34,34,26,100.00%,76.47%,Alameda Total
10,Accounting-050200,0,0,0,0,0,34,34,26,100.00%,76.47%,Alameda Total
11,Allan Hancock Total,"2,415","2,174","1,839",90.02%,76.15%,"2,333","2,136","1,828",91.56%,78.35%,Allan Hancock Total
12,Delayed Interaction (Internet Based) Total,781,662,520,84.76%,66.58%,776,661,528,85.18%,68.04%,Allan Hancock Total
13,Accounting-050200,156,131,104,83.97%,66.67%,177,146,113,82.49%,63.84%,Allan Hancock Total
14,"Business and Commerce, General-050100",284,230,192,80.99%,67.61%,281,244,205,86.83%,72.95%,Allan Hancock Total
15,Office Technology/Office Computer Applications-051400,252,226,167,89.68%,66.27%,239,201,153,84.10%,64.02%,Allan Hancock Total
16,Real Estate-051100,58,52,44,89.66%,75.86%,57,52,45,91.23%,78.95%,Allan Hancock Total
17,Small Business and Entrepreneurship-050640,31,23,13,74.19%,41.94%,22,18,12,81.82%,54.55%,Allan Hancock Total
18,Non Distance Education Methods Total,"1,634","1,512","1,319",92.53%,80.72%,"1,557","1,475","1,300",94.73%,83.49%,Allan Hancock Total
19,Accounting-050200,285,207,141,72.63%,49.47%,207,160,109,77.29%,52.66%,Allan Hancock Total
20,"Business and Commerce, General-050100",374,343,322,91.71%,86.10%,377,349,317,92.57%,84.08%,Allan Hancock Total
21,Business Management-050600,21,21,18,100.00%,85.71%,12,12,12,100.00%,100.00%,Allan Hancock Total
22,Office Technology/Office Computer Applications-051400,954,941,838,98.64%,87.84%,889,884,796,99.44%,89.54%,Allan Hancock Total
23,Small Business and Entrepreneurship-050640,0,0,0,0,0,72,70,66,97.22%,91.67%,Allan Hancock Total
24,American River Total,"3,746","3,148","2,656",84.04%,70.90%,"3,273","2,694","2,253",82.31%,68.84%,American River Total
25,Delayed Interaction (Internet Based) Total,"3,301","2,769","2,321",83.88%,70.31%,"2,781","2,277","1,912",81.88%,68.75%,American River Total
26,Accounting-050200,740,630,600,85.14%,81.08%,771,643,605,83.40%,78.47%,American River Total
27,Advertising-050910,40,35,33,87.50%,82.50%,0,0,0,0,0,American River Total
28,Business Administration-050500,323,301,265,93.19%,82.04%,330,296,250,89.70%,75.76%,American River Total
29,"Business and Commerce, General-050100",747,609,478,81.53%,63.99%,568,475,359,83.63%,63.20%,American River Total
30,Business Management-050600,325,261,198,80.31%,60.92%,242,199,163,82.23%,67.36%,American River Total
